"datetime";"value"
2017-01-21 21:00:00;34486.3
2017-01-21 22:00:00;32983.9
2017-01-21 23:00:00;30783.7
2017-01-22 00:00:00;27778.6
2017-01-22 01:00:00;25322.3
2017-01-22 02:00:00;23876.6
2017-01-22 03:00:00;22934.6
2017-01-22 04:00:00;22409.9
2017-01-22 05:00:00;22547
2017-01-22 06:00:00;22813.1
2017-01-22 07:00:00;23696.2
2017-01-22 08:00:00;24439.9
2017-01-22 09:00:00;26601.7
2017-01-22 10:00:00;29159.9
2017-01-22 11:00:00;30376
2017-01-22 12:00:00;29907.8
2017-01-22 13:00:00;30627
2017-01-22 14:00:00;30441.6
2017-01-22 15:00:00;29023.3
2017-01-22 16:00:00;28500.9
2017-01-22 17:00:00;28690.2
2017-01-22 18:00:00;30629.3
2017-01-22 19:00:00;32715.6
2017-01-22 20:00:00;33577
2017-01-22 21:00:00;34105.4
2017-01-22 22:00:00;32587.1
2017-01-22 23:00:00;30037.8
2017-01-23 00:00:00;26955.9
2017-01-23 01:00:00;24827.2
2017-01-23 02:00:00;23592.2
2017-01-23 03:00:00;23112.2
2017-01-23 04:00:00;22986.3
2017-01-23 05:00:00;24370.4
2017-01-23 06:00:00;27814.2
2017-01-23 07:00:00;33245.9
2017-01-23 08:00:00;36555.1
2017-01-23 09:00:00;37401.2
2017-01-23 10:00:00;38437.8
2017-01-23 11:00:00;38295.6
2017-01-23 12:00:00;37915.4
2017-01-23 13:00:00;37517.1
2017-01-23 14:00:00;36106
2017-01-23 15:00:00;35775.9
2017-01-23 16:00:00;35228
2017-01-23 17:00:00;35530.7
2017-01-23 18:00:00;37177.2
2017-01-23 19:00:00;39089.2
2017-01-23 20:00:00;39565
2017-01-23 21:00:00;37856.7
2017-01-23 22:00:00;36188
2017-01-23 23:00:00;31820.2
2017-01-24 00:00:00;28968.9
2017-01-24 01:00:00;26564.4
2017-01-24 02:00:00;25387.7
2017-01-24 03:00:00;24824.7
2017-01-24 04:00:00;24694.2
2017-01-24 05:00:00;25209
2017-01-24 06:00:00;28414.3
2017-01-24 07:00:00;33400.7
2017-01-24 08:00:00;36748.8
2017-01-24 09:00:00;37795
2017-01-24 10:00:00;38505.8
2017-01-24 11:00:00;38205.6
2017-01-24 12:00:00;37483.6
2017-01-24 13:00:00;36796.5
2017-01-24 14:00:00;35574.2
2017-01-24 15:00:00;35280.9
2017-01-24 16:00:00;34630
2017-01-24 17:00:00;35001.2
2017-01-24 18:00:00;36589.3
2017-01-24 19:00:00;38643.4
2017-01-24 20:00:00;39137.7
2017-01-24 21:00:00;38003.9
2017-01-24 22:00:00;35314.9
2017-01-24 23:00:00;31788.5
2017-01-25 00:00:00;28781.1
2017-01-25 01:00:00;26406.9
2017-01-25 02:00:00;25328.1
2017-01-25 03:00:00;24886.3
2017-01-25 04:00:00;24742.8
2017-01-25 05:00:00;25637.3
2017-01-25 06:00:00;28800.8
2017-01-25 07:00:00;33319.3
2017-01-25 08:00:00;37083.9
2017-01-25 09:00:00;38348.5
2017-01-25 10:00:00;38590.8
2017-01-25 11:00:00;38253.6
2017-01-25 12:00:00;37599.4
2017-01-25 13:00:00;37453
2017-01-25 14:00:00;36341.8
2017-01-25 15:00:00;35543.9
2017-01-25 16:00:00;35462.7
2017-01-25 17:00:00;35599.3
2017-01-25 18:00:00;37453.8
2017-01-25 19:00:00;39222.1
2017-01-25 20:00:00;39557.2
2017-01-25 21:00:00;38118.8
2017-01-25 22:00:00;35497.3
2017-01-25 23:00:00;32344.8
2017-01-26 00:00:00;29132.7
2017-01-26 01:00:00;27041.2
2017-01-26 02:00:00;25586.8
2017-01-26 03:00:00;25218.8
2017-01-26 04:00:00;25141.8
2017-01-26 05:00:00;25744.5
2017-01-26 06:00:00;28785.3
2017-01-26 07:00:00;33653.5
2017-01-26 08:00:00;36997.8
2017-01-26 09:00:00;38080.2
2017-01-26 10:00:00;38484.6
2017-01-26 11:00:00;38365.3
2017-01-26 12:00:00;37897.3
2017-01-26 13:00:00;37857.2
2017-01-26 14:00:00;36533.8
2017-01-26 15:00:00;35986.2
2017-01-26 16:00:00;36115.7
2017-01-26 17:00:00;36337.7
2017-01-26 18:00:00;38428.7
2017-01-26 19:00:00;39326.8
2017-01-26 20:00:00;39129
2017-01-26 21:00:00;37792.2
2017-01-26 22:00:00;35325.3
2017-01-26 23:00:00;32145.6
2017-01-27 00:00:00;28995.2
2017-01-27 01:00:00;26813.9
2017-01-27 02:00:00;25810.7
2017-01-27 03:00:00;25027.5
2017-01-27 04:00:00;24783.6
2017-01-27 05:00:00;25562.1
2017-01-27 06:00:00;28617.6
2017-01-27 07:00:00;33179.7
2017-01-27 08:00:00;36086.4
2017-01-27 09:00:00;37154.1
2017-01-27 10:00:00;38167.8
2017-01-27 11:00:00;37916.1
2017-01-27 12:00:00;37639
2017-01-27 13:00:00;37538.1
2017-01-27 14:00:00;36094.9
2017-01-27 15:00:00;35429.3
2017-01-27 16:00:00;35164.2
2017-01-27 17:00:00;35303.4
2017-01-27 18:00:00;36494.4
2017-01-27 19:00:00;37462.7
2017-01-27 20:00:00;37368.2
2017-01-27 21:00:00;36352.3
2017-01-27 22:00:00;34045.2
2017-01-27 23:00:00;31720.7
2017-01-28 00:00:00;29349.6
2017-01-28 01:00:00;26747.7
2017-01-28 02:00:00;24937.8
2017-01-28 03:00:00;24031.1
2017-01-28 04:00:00;23424.9
2017-01-28 05:00:00;23794.6
2017-01-28 06:00:00;24197.9
2017-01-28 07:00:00;26025
2017-01-28 08:00:00;27601.3
2017-01-28 09:00:00;30168.4
2017-01-28 10:00:00;32658.5
2017-01-28 11:00:00;33199.4
2017-01-28 12:00:00;32147.9
2017-01-28 13:00:00;31565.2
2017-01-28 14:00:00;30990.8
